image,mask,type
vkitti/images/Scene02_15-deg-right_frames_rgb_Camera_0_00108.jpg,vkitti/masks/Scene02_15-deg-right_frames_rgb_Camera_0_00108.png,train
vkitti/images/Scene06_15-deg-right_frames_rgb_Camera_0_00099.jpg,vkitti/masks/Scene06_15-deg-right_frames_rgb_Camera_0_00099.png,train
vkitti/images/Scene18_clone_frames_rgb_Camera_0_00210.jpg,vkitti/masks/Scene18_clone_frames_rgb_Camera_0_00210.png,train
vkitti/images/Scene06_30-deg-left_frames_rgb_Camera_1_00062.jpg,vkitti/masks/Scene06_30-deg-left_frames_rgb_Camera_1_00062.png,train
vkitti/images/Scene02_morning_frames_rgb_Camera_0_00139.jpg,vkitti/masks/Scene02_morning_frames_rgb_Camera_0_00139.png,train
vkitti/images/Scene01_fog_frames_rgb_Camera_0_00068.jpg,vkitti/masks/Scene01_fog_frames_rgb_Camera_0_00068.png,train
vkitti/images/Scene01_15-deg-left_frames_rgb_Camera_0_00157.jpg,vkitti/masks/Scene01_15-deg-left_frames_rgb_Camera_0_00157.png,train
LostAndFound_Road/images/02_Hanns_Klemm_Str_44_000007_000230_leftImg8bit.png,LostAndFound_Road/masks/02_Hanns_Klemm_Str_44_000007_000230_leftImg8bit.png,train
vkitti/images/Scene20_30-deg-left_frames_rgb_Camera_0_00190.jpg,vkitti/masks/Scene20_30-deg-left_frames_rgb_Camera_0_00190.png,train
vkitti/images/Scene18_clone_frames_rgb_Camera_0_00092.jpg,vkitti/masks/Scene18_clone_frames_rgb_Camera_0_00092.png,train
LostAndFound_Road/images/10_Schlossberg_9_000000_000200_leftImg8bit.png,LostAndFound_Road/masks/10_Schlossberg_9_000000_000200_leftImg8bit.png,train
vkitti/images/Scene18_15-deg-left_frames_rgb_Camera_0_00300.jpg,vkitti/masks/Scene18_15-deg-left_frames_rgb_Camera_0_00300.png,train
vkitti/images/Scene02_15-deg-left_frames_rgb_Camera_0_00105.jpg,vkitti/masks/Scene02_15-deg-left_frames_rgb_Camera_0_00105.png,train
vkitti/images/Scene01_sunset_frames_rgb_Camera_0_00328.jpg,vkitti/masks/Scene01_sunset_frames_rgb_Camera_0_00328.png,train
vkitti/images/Scene01_30-deg-right_frames_rgb_Camera_1_00174.jpg,vkitti/masks/Scene01_30-deg-right_frames_rgb_Camera_1_00174.png,train
vkitti/images/Scene18_rain_frames_rgb_Camera_0_00216.jpg,vkitti/masks/Scene18_rain_frames_rgb_Camera_0_00216.png,train
vkitti/images/Scene20_morning_frames_rgb_Camera_1_00413.jpg,vkitti/masks/Scene20_morning_frames_rgb_Camera_1_00413.png,train
vkitti/images/Scene20_30-deg-right_frames_rgb_Camera_1_00262.jpg,vkitti/masks/Scene20_30-deg-right_frames_rgb_Camera_1_00262.png,train
vkitti/images/Scene01_30-deg-right_frames_rgb_Camera_1_00399.jpg,vkitti/masks/Scene01_30-deg-right_frames_rgb_Camera_1_00399.png,train
vkitti/images/Scene02_fog_frames_rgb_Camera_1_00083.jpg,vkitti/masks/Scene02_fog_frames_rgb_Camera_1_00083.png,train
vkitti/images/Scene18_morning_frames_rgb_Camera_1_00067.jpg,vkitti/masks/Scene18_morning_frames_rgb_Camera_1_00067.png,train
vkitti/images/Scene18_rain_frames_rgb_Camera_0_00222.jpg,vkitti/masks/Scene18_rain_frames_rgb_Camera_0_00222.png,train
vkitti/images/Scene20_30-deg-left_frames_rgb_Camera_0_00225.jpg,vkitti/masks/Scene20_30-deg-left_frames_rgb_Camera_0_00225.png,train
vkitti/images/Scene02_rain_frames_rgb_Camera_1_00060.jpg,vkitti/masks/Scene02_rain_frames_rgb_Camera_1_00060.png,train
vkitti/images/Scene18_clone_frames_rgb_Camera_1_00174.jpg,vkitti/masks/Scene18_clone_frames_rgb_Camera_1_00174.png,train
vkitti/images/Scene18_clone_frames_rgb_Camera_0_00053.jpg,vkitti/masks/Scene18_clone_frames_rgb_Camera_0_00053.png,train
vkitti/images/Scene18_15-deg-right_frames_rgb_Camera_1_00082.jpg,vkitti/masks/Scene18_15-deg-right_frames_rgb_Camera_1_00082.png,train
vkitti/images/Scene20_fog_frames_rgb_Camera_0_00161.jpg,vkitti/masks/Scene20_fog_frames_rgb_Camera_0_00161.png,train
vkitti/images/Scene20_15-deg-right_frames_rgb_Camera_0_00066.jpg,vkitti/masks/Scene20_15-deg-right_frames_rgb_Camera_0_00066.png,train
vkitti/images/Scene06_morning_frames_rgb_Camera_0_00035.jpg,vkitti/masks/Scene06_morning_frames_rgb_Camera_0_00035.png,train
vkitti/images/Scene02_clone_frames_rgb_Camera_0_00160.jpg,vkitti/masks/Scene02_clone_frames_rgb_Camera_0_00160.png,train
vkitti/images/Scene20_morning_frames_rgb_Camera_1_00103.jpg,vkitti/masks/Scene20_morning_frames_rgb_Camera_1_00103.png,train
vkitti/images/Scene01_sunset_frames_rgb_Camera_1_00247.jpg,vkitti/masks/Scene01_sunset_frames_rgb_Camera_1_00247.png,train
LostAndFound_Road/images/15_Rechbergstr_Deckenpfronn_000001_000230_leftImg8bit.png,LostAndFound_Road/masks/15_Rechbergstr_Deckenpfronn_000001_000230_leftImg8bit.png,train
vkitti/images/Scene18_15-deg-left_frames_rgb_Camera_0_00088.jpg,vkitti/masks/Scene18_15-deg-left_frames_rgb_Camera_0_00088.png,train
vkitti/images/Scene20_15-deg-right_frames_rgb_Camera_0_00813.jpg,vkitti/masks/Scene20_15-deg-right_frames_rgb_Camera_0_00813.png,train
vkitti/images/Scene02_fog_frames_rgb_Camera_1_00006.jpg,vkitti/masks/Scene02_fog_frames_rgb_Camera_1_00006.png,train
vkitti/images/Scene20_30-deg-right_frames_rgb_Camera_0_00622.jpg,vkitti/masks/Scene20_30-deg-right_frames_rgb_Camera_0_00622.png,train
LostAndFound_Road/images/01_Hanns_Klemm_Str_45_000003_000070_leftImg8bit.png,LostAndFound_Road/masks/01_Hanns_Klemm_Str_45_000003_000070_leftImg8bit.png,train
vkitti/images/Scene20_morning_frames_rgb_Camera_1_00544.jpg,vkitti/masks/Scene20_morning_frames_rgb_Camera_1_00544.png,train
vkitti/images/Scene20_morning_frames_rgb_Camera_0_00578.jpg,vkitti/masks/Scene20_morning_frames_rgb_Camera_0_00578.png,train
vkitti/images/Scene20_rain_frames_rgb_Camera_0_00092.jpg,vkitti/masks/Scene20_rain_frames_rgb_Camera_0_00092.png,train
vkitti/images/Scene20_30-deg-right_frames_rgb_Camera_0_00806.jpg,vkitti/masks/Scene20_30-deg-right_frames_rgb_Camera_0_00806.png,train
vkitti/images/Scene18_morning_frames_rgb_Camera_0_00034.jpg,vkitti/masks/Scene18_morning_frames_rgb_Camera_0_00034.png,train
KITTIRoad/training/images/um_000076.png,KITTIRoad/training/masks/um_road_000076.png,train
vkitti/images/Scene20_15-deg-right_frames_rgb_Camera_1_00517.jpg,vkitti/masks/Scene20_15-deg-right_frames_rgb_Camera_1_00517.png,train
vkitti/images/Scene02_15-deg-left_frames_rgb_Camera_1_00011.jpg,vkitti/masks/Scene02_15-deg-left_frames_rgb_Camera_1_00011.png,train
vkitti/images/Scene20_rain_frames_rgb_Camera_0_00456.jpg,vkitti/masks/Scene20_rain_frames_rgb_Camera_0_00456.png,train
vkitti/images/Scene20_morning_frames_rgb_Camera_0_00077.jpg,vkitti/masks/Scene20_morning_frames_rgb_Camera_0_00077.png,train
vkitti/images/Scene18_rain_frames_rgb_Camera_1_00258.jpg,vkitti/masks/Scene18_rain_frames_rgb_Camera_1_00258.png,train
vkitti/images/Scene20_15-deg-right_frames_rgb_Camera_1_00756.jpg,vkitti/masks/Scene20_15-deg-right_frames_rgb_Camera_1_00756.png,train
LostAndFound_Road/images/01_Hanns_Klemm_Str_45_000003_000210_leftImg8bit.png,LostAndFound_Road/masks/01_Hanns_Klemm_Str_45_000003_000210_leftImg8bit.png,train
vkitti/images/Scene20_15-deg-left_frames_rgb_Camera_0_00026.jpg,vkitti/masks/Scene20_15-deg-left_frames_rgb_Camera_0_00026.png,train
LostAndFound_Road/images/12_Umberto_Nobile_Str_000004_000180_leftImg8bit.png,LostAndFound_Road/masks/12_Umberto_Nobile_Str_000004_000180_leftImg8bit.png,train
vkitti/images/Scene06_30-deg-right_frames_rgb_Camera_0_00226.jpg,vkitti/masks/Scene06_30-deg-right_frames_rgb_Camera_0_00226.png,train
vkitti/images/Scene02_30-deg-left_frames_rgb_Camera_0_00005.jpg,vkitti/masks/Scene02_30-deg-left_frames_rgb_Camera_0_00005.png,train
vkitti/images/Scene02_morning_frames_rgb_Camera_0_00193.jpg,vkitti/masks/Scene02_morning_frames_rgb_Camera_0_00193.png,train
vkitti/images/Scene18_clone_frames_rgb_Camera_1_00067.jpg,vkitti/masks/Scene18_clone_frames_rgb_Camera_1_00067.png,train
vkitti/images/Scene01_fog_frames_rgb_Camera_0_00416.jpg,vkitti/masks/Scene01_fog_frames_rgb_Camera_0_00416.png,train
vkitti/images/Scene18_sunset_frames_rgb_Camera_0_00314.jpg,vkitti/masks/Scene18_sunset_frames_rgb_Camera_0_00314.png,train
vkitti/images/Scene18_30-deg-right_frames_rgb_Camera_1_00228.jpg,vkitti/masks/Scene18_30-deg-right_frames_rgb_Camera_1_00228.png,train
vkitti/images/Scene01_overcast_frames_rgb_Camera_0_00421.jpg,vkitti/masks/Scene01_overcast_frames_rgb_Camera_0_00421.png,train
vkitti/images/Scene20_clone_frames_rgb_Camera_1_00337.jpg,vkitti/masks/Scene20_clone_frames_rgb_Camera_1_00337.png,train
vkitti/images/Scene06_15-deg-left_frames_rgb_Camera_0_00207.jpg,vkitti/masks/Scene06_15-deg-left_frames_rgb_Camera_0_00207.png,train
vkitti/images/Scene02_15-deg-left_frames_rgb_Camera_0_00114.jpg,vkitti/masks/Scene02_15-deg-left_frames_rgb_Camera_0_00114.png,train
vkitti/images/Scene18_30-deg-right_frames_rgb_Camera_1_00262.jpg,vkitti/masks/Scene18_30-deg-right_frames_rgb_Camera_1_00262.png,train
vkitti/images/Scene01_rain_frames_rgb_Camera_0_00139.jpg,vkitti/masks/Scene01_rain_frames_rgb_Camera_0_00139.png,train
vkitti/images/Scene02_rain_frames_rgb_Camera_1_00203.jpg,vkitti/masks/Scene02_rain_frames_rgb_Camera_1_00203.png,train
vkitti/images/Scene18_15-deg-left_frames_rgb_Camera_0_00064.jpg,vkitti/masks/Scene18_15-deg-left_frames_rgb_Camera_0_00064.png,train
vkitti/images/Scene20_clone_frames_rgb_Camera_0_00630.jpg,vkitti/masks/Scene20_clone_frames_rgb_Camera_0_00630.png,train
vkitti/images/Scene20_fog_frames_rgb_Camera_1_00426.jpg,vkitti/masks/Scene20_fog_frames_rgb_Camera_1_00426.png,train
vkitti/images/Scene20_sunset_frames_rgb_Camera_0_00358.jpg,vkitti/masks/Scene20_sunset_frames_rgb_Camera_0_00358.png,train
vkitti/images/Scene20_overcast_frames_rgb_Camera_1_00208.jpg,vkitti/masks/Scene20_overcast_frames_rgb_Camera_1_00208.png,train
vkitti/images/Scene02_fog_frames_rgb_Camera_1_00136.jpg,vkitti/masks/Scene02_fog_frames_rgb_Camera_1_00136.png,train
vkitti/images/Scene18_30-deg-left_frames_rgb_Camera_0_00283.jpg,vkitti/masks/Scene18_30-deg-left_frames_rgb_Camera_0_00283.png,train
vkitti/images/Scene02_30-deg-right_frames_rgb_Camera_1_00199.jpg,vkitti/masks/Scene02_30-deg-right_frames_rgb_Camera_1_00199.png,train
vkitti/images/Scene20_sunset_frames_rgb_Camera_0_00376.jpg,vkitti/masks/Scene20_sunset_frames_rgb_Camera_0_00376.png,train
vkitti/images/Scene18_15-deg-right_frames_rgb_Camera_0_00116.jpg,vkitti/masks/Scene18_15-deg-right_frames_rgb_Camera_0_00116.png,train
vkitti/images/Scene18_rain_frames_rgb_Camera_0_00083.jpg,vkitti/masks/Scene18_rain_frames_rgb_Camera_0_00083.png,train
vkitti/images/Scene20_sunset_frames_rgb_Camera_0_00758.jpg,vkitti/masks/Scene20_sunset_frames_rgb_Camera_0_00758.png,train
vkitti/images/Scene20_fog_frames_rgb_Camera_0_00488.jpg,vkitti/masks/Scene20_fog_frames_rgb_Camera_0_00488.png,train
vkitti/images/Scene02_morning_frames_rgb_Camera_0_00202.jpg,vkitti/masks/Scene02_morning_frames_rgb_Camera_0_00202.png,train
vkitti/images/Scene02_rain_frames_rgb_Camera_1_00139.jpg,vkitti/masks/Scene02_rain_frames_rgb_Camera_1_00139.png,train
vkitti/images/Scene20_morning_frames_rgb_Camera_0_00811.jpg,vkitti/masks/Scene20_morning_frames_rgb_Camera_0_00811.png,train
vkitti/images/Scene02_fog_frames_rgb_Camera_1_00130.jpg,vkitti/masks/Scene02_fog_frames_rgb_Camera_1_00130.png,train
vkitti/images/Scene20_30-deg-right_frames_rgb_Camera_1_00196.jpg,vkitti/masks/Scene20_30-deg-right_frames_rgb_Camera_1_00196.png,train
vkitti/images/Scene20_15-deg-left_frames_rgb_Camera_0_00576.jpg,vkitti/masks/Scene20_15-deg-left_frames_rgb_Camera_0_00576.png,train
vkitti/images/Scene20_fog_frames_rgb_Camera_0_00546.jpg,vkitti/masks/Scene20_fog_frames_rgb_Camera_0_00546.png,train
vkitti/images/Scene20_clone_frames_rgb_Camera_0_00288.jpg,vkitti/masks/Scene20_clone_frames_rgb_Camera_0_00288.png,train
vkitti/images/Scene20_overcast_frames_rgb_Camera_0_00592.jpg,vkitti/masks/Scene20_overcast_frames_rgb_Camera_0_00592.png,train
vkitti/images/Scene06_fog_frames_rgb_Camera_1_00080.jpg,vkitti/masks/Scene06_fog_frames_rgb_Camera_1_00080.png,train
LostAndFound_Road/images/10_Schlossberg_9_000004_000090_leftImg8bit.png,LostAndFound_Road/masks/10_Schlossberg_9_000004_000090_leftImg8bit.png,train
vkitti/images/Scene06_overcast_frames_rgb_Camera_0_00149.jpg,vkitti/masks/Scene06_overcast_frames_rgb_Camera_0_00149.png,train
vkitti/images/Scene01_15-deg-right_frames_rgb_Camera_0_00362.jpg,vkitti/masks/Scene01_15-deg-right_frames_rgb_Camera_0_00362.png,train
vkitti/images/Scene01_clone_frames_rgb_Camera_0_00396.jpg,vkitti/masks/Scene01_clone_frames_rgb_Camera_0_00396.png,train
vkitti/images/Scene18_30-deg-left_frames_rgb_Camera_0_00277.jpg,vkitti/masks/Scene18_30-deg-left_frames_rgb_Camera_0_00277.png,train
vkitti/images/Scene06_overcast_frames_rgb_Camera_1_00107.jpg,vkitti/masks/Scene06_overcast_frames_rgb_Camera_1_00107.png,train
vkitti/images/Scene06_overcast_frames_rgb_Camera_1_00214.jpg,vkitti/masks/Scene06_overcast_frames_rgb_Camera_1_00214.png,train
vkitti/images/Scene01_clone_frames_rgb_Camera_1_00091.jpg,vkitti/masks/Scene01_clone_frames_rgb_Camera_1_00091.png,train
vkitti/images/Scene20_rain_frames_rgb_Camera_0_00739.jpg,vkitti/masks/Scene20_rain_frames_rgb_Camera_0_00739.png,train
vkitti/images/Scene06_30-deg-right_frames_rgb_Camera_0_00188.jpg,vkitti/masks/Scene06_30-deg-right_frames_rgb_Camera_0_00188.png,train
vkitti/images/Scene01_30-deg-right_frames_rgb_Camera_1_00052.jpg,vkitti/masks/Scene01_30-deg-right_frames_rgb_Camera_1_00052.png,train
vkitti/images/Scene20_15-deg-left_frames_rgb_Camera_0_00303.jpg,vkitti/masks/Scene20_15-deg-left_frames_rgb_Camera_0_00303.png,train
vkitti/images/Scene01_rain_frames_rgb_Camera_0_00232.jpg,vkitti/masks/Scene01_rain_frames_rgb_Camera_0_00232.png,train
vkitti/images/Scene18_overcast_frames_rgb_Camera_1_00084.jpg,vkitti/masks/Scene18_overcast_frames_rgb_Camera_1_00084.png,train
vkitti/images/Scene20_15-deg-left_frames_rgb_Camera_1_00737.jpg,vkitti/masks/Scene20_15-deg-left_frames_rgb_Camera_1_00737.png,train
vkitti/images/Scene20_sunset_frames_rgb_Camera_0_00749.jpg,vkitti/masks/Scene20_sunset_frames_rgb_Camera_0_00749.png,train
vkitti/images/Scene06_rain_frames_rgb_Camera_1_00250.jpg,vkitti/masks/Scene06_rain_frames_rgb_Camera_1_00250.png,train
vkitti/images/Scene20_sunset_frames_rgb_Camera_0_00821.jpg,vkitti/masks/Scene20_sunset_frames_rgb_Camera_0_00821.png,train
vkitti/images/Scene06_overcast_frames_rgb_Camera_1_00093.jpg,vkitti/masks/Scene06_overcast_frames_rgb_Camera_1_00093.png,train
vkitti/images/Scene18_sunset_frames_rgb_Camera_1_00010.jpg,vkitti/masks/Scene18_sunset_frames_rgb_Camera_1_00010.png,train
vkitti/images/Scene02_15-deg-left_frames_rgb_Camera_0_00095.jpg,vkitti/masks/Scene02_15-deg-left_frames_rgb_Camera_0_00095.png,train
vkitti/images/Scene20_sunset_frames_rgb_Camera_0_00516.jpg,vkitti/masks/Scene20_sunset_frames_rgb_Camera_0_00516.png,train
vkitti/images/Scene20_30-deg-left_frames_rgb_Camera_1_00190.jpg,vkitti/masks/Scene20_30-deg-left_frames_rgb_Camera_1_00190.png,train
vkitti/images/Scene01_15-deg-right_frames_rgb_Camera_0_00070.jpg,vkitti/masks/Scene01_15-deg-right_frames_rgb_Camera_0_00070.png,train
vkitti/images/Scene20_sunset_frames_rgb_Camera_0_00243.jpg,vkitti/masks/Scene20_sunset_frames_rgb_Camera_0_00243.png,train
vkitti/images/Scene18_15-deg-right_frames_rgb_Camera_1_00253.jpg,vkitti/masks/Scene18_15-deg-right_frames_rgb_Camera_1_00253.png,train
vkitti/images/Scene20_15-deg-right_frames_rgb_Camera_0_00226.jpg,vkitti/masks/Scene20_15-deg-right_frames_rgb_Camera_0_00226.png,train
LostAndFound_Road/images/15_Rechbergstr_Deckenpfronn_000007_000250_leftImg8bit.png,LostAndFound_Road/masks/15_Rechbergstr_Deckenpfronn_000007_000250_leftImg8bit.png,train
vkitti/images/Scene20_clone_frames_rgb_Camera_0_00675.jpg,vkitti/masks/Scene20_clone_frames_rgb_Camera_0_00675.png,train
vkitti/images/Scene20_15-deg-right_frames_rgb_Camera_1_00205.jpg,vkitti/masks/Scene20_15-deg-right_frames_rgb_Camera_1_00205.png,train
vkitti/images/Scene02_rain_frames_rgb_Camera_1_00144.jpg,vkitti/masks/Scene02_rain_frames_rgb_Camera_1_00144.png,train
vkitti/images/Scene02_15-deg-right_frames_rgb_Camera_0_00149.jpg,vkitti/masks/Scene02_15-deg-right_frames_rgb_Camera_0_00149.png,train
vkitti/images/Scene06_fog_frames_rgb_Camera_1_00244.jpg,vkitti/masks/Scene06_fog_frames_rgb_Camera_1_00244.png,train
vkitti/images/Scene20_30-deg-right_frames_rgb_Camera_0_00404.jpg,vkitti/masks/Scene20_30-deg-right_frames_rgb_Camera_0_00404.png,train
vkitti/images/Scene20_fog_frames_rgb_Camera_1_00141.jpg,vkitti/masks/Scene20_fog_frames_rgb_Camera_1_00141.png,train
vkitti/images/Scene01_fog_frames_rgb_Camera_0_00206.jpg,vkitti/masks/Scene01_fog_frames_rgb_Camera_0_00206.png,train
vkitti/images/Scene20_rain_frames_rgb_Camera_1_00244.jpg,vkitti/masks/Scene20_rain_frames_rgb_Camera_1_00244.png,train
vkitti/images/Scene02_fog_frames_rgb_Camera_0_00032.jpg,vkitti/masks/Scene02_fog_frames_rgb_Camera_0_00032.png,train
vkitti/images/Scene06_30-deg-left_frames_rgb_Camera_1_00138.jpg,vkitti/masks/Scene06_30-deg-left_frames_rgb_Camera_1_00138.png,train
vkitti/images/Scene01_fog_frames_rgb_Camera_0_00196.jpg,vkitti/masks/Scene01_fog_frames_rgb_Camera_0_00196.png,train
vkitti/images/Scene18_clone_frames_rgb_Camera_0_00143.jpg,vkitti/masks/Scene18_clone_frames_rgb_Camera_0_00143.png,train
vkitti/images/Scene02_clone_frames_rgb_Camera_1_00098.jpg,vkitti/masks/Scene02_clone_frames_rgb_Camera_1_00098.png,train
vkitti/images/Scene20_morning_frames_rgb_Camera_0_00762.jpg,vkitti/masks/Scene20_morning_frames_rgb_Camera_0_00762.png,train
vkitti/images/Scene01_fog_frames_rgb_Camera_1_00425.jpg,vkitti/masks/Scene01_fog_frames_rgb_Camera_1_00425.png,train
vkitti/images/Scene01_clone_frames_rgb_Camera_1_00254.jpg,vkitti/masks/Scene01_clone_frames_rgb_Camera_1_00254.png,train
vkitti/images/Scene20_clone_frames_rgb_Camera_0_00716.jpg,vkitti/masks/Scene20_clone_frames_rgb_Camera_0_00716.png,train
vkitti/images/Scene06_rain_frames_rgb_Camera_0_00022.jpg,vkitti/masks/Scene06_rain_frames_rgb_Camera_0_00022.png,train
vkitti/images/Scene20_sunset_frames_rgb_Camera_1_00489.jpg,vkitti/masks/Scene20_sunset_frames_rgb_Camera_1_00489.png,train
vkitti/images/Scene06_morning_frames_rgb_Camera_0_00238.jpg,vkitti/masks/Scene06_morning_frames_rgb_Camera_0_00238.png,train
vkitti/images/Scene02_15-deg-left_frames_rgb_Camera_1_00228.jpg,vkitti/masks/Scene02_15-deg-left_frames_rgb_Camera_1_00228.png,train
vkitti/images/Scene18_15-deg-left_frames_rgb_Camera_1_00157.jpg,vkitti/masks/Scene18_15-deg-left_frames_rgb_Camera_1_00157.png,train
vkitti/images/Scene02_30-deg-right_frames_rgb_Camera_1_00216.jpg,vkitti/masks/Scene02_30-deg-right_frames_rgb_Camera_1_00216.png,train
vkitti/images/Scene06_overcast_frames_rgb_Camera_0_00239.jpg,vkitti/masks/Scene06_overcast_frames_rgb_Camera_0_00239.png,train
vkitti/images/Scene18_15-deg-left_frames_rgb_Camera_0_00309.jpg,vkitti/masks/Scene18_15-deg-left_frames_rgb_Camera_0_00309.png,train
vkitti/images/Scene20_15-deg-right_frames_rgb_Camera_1_00832.jpg,vkitti/masks/Scene20_15-deg-right_frames_rgb_Camera_1_00832.png,train
vkitti/images/Scene20_15-deg-left_frames_rgb_Camera_0_00420.jpg,vkitti/masks/Scene20_15-deg-left_frames_rgb_Camera_0_00420.png,train
vkitti/images/Scene20_15-deg-left_frames_rgb_Camera_1_00372.jpg,vkitti/masks/Scene20_15-deg-left_frames_rgb_Camera_1_00372.png,train
vkitti/images/Scene20_clone_frames_rgb_Camera_0_00395.jpg,vkitti/masks/Scene20_clone_frames_rgb_Camera_0_00395.png,train
vkitti/images/Scene01_clone_frames_rgb_Camera_0_00080.jpg,vkitti/masks/Scene01_clone_frames_rgb_Camera_0_00080.png,train
vkitti/images/Scene18_15-deg-right_frames_rgb_Camera_0_00179.jpg,vkitti/masks/Scene18_15-deg-right_frames_rgb_Camera_0_00179.png,train
vkitti/images/Scene18_rain_frames_rgb_Camera_0_00272.jpg,vkitti/masks/Scene18_rain_frames_rgb_Camera_0_00272.png,train
vkitti/images/Scene18_clone_frames_rgb_Camera_1_00311.jpg,vkitti/masks/Scene18_clone_frames_rgb_Camera_1_00311.png,train
vkitti/images/Scene01_15-deg-left_frames_rgb_Camera_1_00403.jpg,vkitti/masks/Scene01_15-deg-left_frames_rgb_Camera_1_00403.png,train
vkitti/images/Scene18_clone_frames_rgb_Camera_0_00182.jpg,vkitti/masks/Scene18_clone_frames_rgb_Camera_0_00182.png,train
vkitti/images/Scene02_fog_frames_rgb_Camera_1_00181.jpg,vkitti/masks/Scene02_fog_frames_rgb_Camera_1_00181.png,train
vkitti/images/Scene01_rain_frames_rgb_Camera_0_00307.jpg,vkitti/masks/Scene01_rain_frames_rgb_Camera_0_00307.png,train
vkitti/images/Scene18_30-deg-left_frames_rgb_Camera_1_00121.jpg,vkitti/masks/Scene18_30-deg-left_frames_rgb_Camera_1_00121.png,train
vkitti/images/Scene20_15-deg-left_frames_rgb_Camera_1_00187.jpg,vkitti/masks/Scene20_15-deg-left_frames_rgb_Camera_1_00187.png,train
vkitti/images/Scene01_rain_frames_rgb_Camera_1_00033.jpg,vkitti/masks/Scene01_rain_frames_rgb_Camera_1_00033.png,train
vkitti/images/Scene20_fog_frames_rgb_Camera_0_00522.jpg,vkitti/masks/Scene20_fog_frames_rgb_Camera_0_00522.png,train
